2025-10-23 07:49:33 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 启动 AI 语音助手
2025-10-23 08:12:38 | ai_assistant | INFO     | system_controller.py:73 | _init_music_player() | ✅ 音乐播放器初始化成功
2025-10-23 08:12:38 | ai_assistant | INFO     | system_controller.py:435 | __init__() | 🔧 任务编排器已加载 12 个可调用函数
2025-10-23 08:12:38 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:12:38 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:12:38 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:12:43 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:12:43 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:12:44 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:12:44 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:12:44 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:12:48 | ai_assistant | INFO     | voice_recognizer.py:153 | listen_and_recognize() | 🎯 识别结果: '查看 系统 信息'
2025-10-23 08:12:48 | ai_assistant | INFO     | main.py:104 | handle_single_interaction() | 🗣️ 用户说: '查看 系统 信息'
2025-10-23 08:12:48 | ai_assistant | INFO     | qwen_assistant.py:28 | __init__() | ✅ QWENAssistant 初始化完成，使用模型: qwen-plus
2025-10-23 08:12:48 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理语音指令
2025-10-23 08:12:50 | ai_assistant | WARNING  | qwen_assistant.py:185 | _validate_plan_structure() | execution_plan 必须是非空数组
2025-10-23 08:12:50 | ai_assistant | INFO     | system_controller.py:538 | execute_from_ai_decision() | 🚀 正在执行: _speak_response({'message': '{\n  "intent": "chat",\n  "task_type": "respond_to_inquiry",\n  "execution_plan": [],\n  "response_to_user": "查看系统信息的功能目前不可用，建议您通过系统自带的工具如任务管理器或设置页面进行查看。",\n  "requires_confirmation": false,\n  "mode": "parallel"\n}'})
2025-10-23 08:12:50 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 语音回复用户
2025-10-23 08:12:50 | ai_assistant | INFO     | system_controller.py:60 | _speak_response() | 📢 播报: {
  "intent": "chat",
  "task_type": "respond_to_inquiry",
  "execution_plan": [],
  "response_to_user": "查看系统信息的功能目前不可用，建议您通过系统自带的工具如任务管理器或设置页面进行查看。",
  "requires_confirmation": false,
  "mode": "parallel"
}
2025-10-23 08:12:50 | ai_assistant | INFO     | main.py:114 | handle_single_interaction() | ✅ 操作成功: _speak_response -> 语音已播放
2025-10-23 08:12:50 | ai_assistant | INFO     | main.py:121 | handle_single_interaction() | 🤖 回复: 语音已播放
2025-10-23 08:12:50 | ai_assistant | ERROR    | text_to_speech.py:90 | _event_loop_worker() | 💥 TTS 线程异常: run loop already started
Traceback (most recent call last):
  File "f:\程序员的日常\python\AI_Manager\Progress\app\text_to_speech.py", line 72, in _event_loop_worker
    self.engine.startLoop(False)
    ~~~~~~~~~~~~~~~~~~~~~^^^^^^^
  File "e:\python\Lib\site-packages\pyttsx3\engine.py", line 238, in startLoop
    raise RuntimeError(msg)
RuntimeError: run loop already started
2025-10-23 08:12:50 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:12:50 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:12:50 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:12:55 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:12:55 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:12:56 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:12:56 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:12:56 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:12:56 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:01 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:01 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:01 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:02 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:02 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:02 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:07 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:07 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:07 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:07 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:07 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:07 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:12 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:12 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:12 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:13 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:13 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:13 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:18 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:18 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:18 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:18 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:18 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:18 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:23 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:23 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:24 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:24 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:24 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:24 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:29 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:29 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:29 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:30 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:30 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:30 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:35 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:35 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:35 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:35 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:35 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:35 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:40 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:40 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:40 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:41 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:41 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:41 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:46 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:46 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:46 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:46 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:46 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:46 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:51 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:51 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:52 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:52 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:52 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:52 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:13:57 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:13:57 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:13:57 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:13:58 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:13:58 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:13:58 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:03 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:03 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:03 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:03 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:03 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:03 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:08 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:08 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:08 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:09 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:09 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:09 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:14 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:14 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:14 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:14 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:14 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:14 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:19 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:19 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:20 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:20 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:20 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:20 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:25 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:25 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:25 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:26 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:26 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:26 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:31 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:31 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:31 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:31 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:31 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:31 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:36 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:36 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:36 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:37 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:37 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:37 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:42 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:42 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:42 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:42 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:42 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:42 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:47 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:47 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:48 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:48 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:48 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:48 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:53 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:53 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:53 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:54 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:54 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:54 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:14:59 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:14:59 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:14:59 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:14:59 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:14:59 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
2025-10-23 08:14:59 | ai_assistant | INFO     | voice_recognizer.py:108 | listen_and_recognize() | 🔊 请说话...
2025-10-23 08:15:04 | ai_assistant | INFO     | voice_recognizer.py:148 | listen_and_recognize() | 💤 超时未检测到语音输入
2025-10-23 08:15:04 | ai_assistant | INFO     | voice_recognizer.py:156 | listen_and_recognize() | ❓ 未识别到有效内容
2025-10-23 08:15:04 | ai_assistant | INFO     | main.py:101 | handle_single_interaction() | 🔇 未检测到有效语音
2025-10-23 08:15:05 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 处理一次语音交互
2025-10-23 08:15:05 | ai_assistant | INFO     | logger_utils.py:16 | wrapper() | 🔄 开始执行: 执行单次语音识别
